"module name","version","licenses","repository"
"eslint-config-airbnb-base@12.1.0","12.1.0","MIT","https://github.com/airbnb/javascript"
"eslint-config-airbnb@16.1.0","16.1.0","MIT","https://github.com/airbnb/javascript"
"eslint-config-ls-react@2.0.2","2.0.2","UNKNOWN","https://github.com/lawnstarter/eslint-config-ls-react"
"eslint-config-prettier@2.9.0","2.9.0","MIT","https://github.com/prettier/eslint-config-prettier"
"eslint-import-resolver-node@0.3.1","0.3.1","MIT","https://github.com/benmosher/eslint-plugin-import"
"eslint-module-utils@2.2.0","2.2.0","MIT","https://github.com/benmosher/eslint-plugin-import"
"eslint-plugin-import@2.11.0","2.11.0","MIT","https://github.com/benmosher/eslint-plugin-import"
"eslint-plugin-jsx-a11y@6.0.3","6.0.3","MIT","https://github.com/evcohen/eslint-plugin-jsx-a11y"
"eslint-plugin-lodash@2.7.0","2.7.0","MIT","https://github.com/wix/eslint-plugin-lodash"
"eslint-plugin-react@7.7.0","7.7.0","MIT","https://github.com/yannickcr/eslint-plugin-react"
"eslint-restricted-globals@0.1.1","0.1.1","MIT","https://github.com/doshisid/eslint-restricted-globals"
"eslint-scope@3.7.1","3.7.1","BSD-2-Clause","https://github.com/eslint/eslint-scope"
"eslint-visitor-keys@1.0.0","1.0.0","Apache-2.0","https://github.com/eslint/eslint-visitor-keys"
"eslint@4.19.1","4.19.1","MIT","https://github.com/eslint/eslint"
"espree@3.5.4","3.5.4","BSD-2-Clause","https://github.com/eslint/espree"
"esprima@4.0.0","4.0.0","BSD-2-Clause","https://github.com/jquery/esprima"
"esquery@1.0.0","1.0.0","BSD*","https://github.com/jrfeenst/esquery"
"esrecurse@4.2.0","4.2.0","BSD-2-Clause","https://github.com/estools/esrecurse"
"estraverse@4.2.0","4.2.0","BSD-2-Clause","https://github.com/estools/estraverse"
"esutils@2.0.2","2.0.2","BSD","https://github.com/estools/esutils"
"execa@0.8.0","0.8.0","MIT","https://github.com/sindresorhus/execa"
"external-editor@2.1.0","2.1.0","MIT","https://github.com/mrkmg/node-external-editor"
"fast-deep-equal@1.0.0","1.0.0","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-json-stable-stringify@2.0.0","2.0.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fast-levenshtein@2.0.6","2.0.6","MIT","https://github.com/hiddentao/fast-levenshtein"
"fbjs@0.8.16","0.8.16","MIT","https://github.com/facebook/fbjs"
"figures@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/figures"
"file-entry-cache@2.0.0","2.0.0","MIT","https://github.com/royriojas/file-entry-cache"
"find-up@1.1.2","1.1.2","MIT","https://github.com/sindresorhus/find-up"
"find-up@2.1.0","2.1.0","MIT","https://github.com/sindresorhus/find-up"
"flat-cache@1.3.0","1.3.0","MIT","https://github.com/royriojas/flat-cache"
"foreach@2.0.5","2.0.5","MIT","https://github.com/manuelstofer/foreach"
"fs.realpath@1.0.0","1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"function-bind@1.1.1","1.1.1","MIT","https://github.com/Raynos/function-bind"
"functional-red-black-tree@1.0.1","1.0.1","MIT","https://github.com/mikolalysenko/functional-red-black-tree"
"get-stdin@5.0.1","5.0.1","MIT","https://github.com/sindresorhus/get-stdin"
"get-stream@3.0.0","3.0.0","MIT","https://github.com/sindresorhus/get-stream"
"glob@7.1.2","7.1.2","ISC","https://github.com/isaacs/node-glob"
"glob@7.1.3","7.1.3","ISC","https://github.com/isaacs/node-glob"
"globals@11.1.0","11.1.0","MIT","https://github.com/sindresorhus/globals"
"globby@5.0.0","5.0.0","MIT","https://github.com/sindresorhus/globby"
"graceful-fs@4.1.11","4.1.11","ISC","https://github.com/isaacs/node-graceful-fs"
"has-ansi@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/has-ansi"
"has-flag@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-flag@3.0.0","3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has@1.0.1","1.0.1","MIT","https://github.com/tarruda/has"
"hosted-git-info@2.5.0","2.5.0","ISC","https://github.com/npm/hosted-git-info"
"iconv-lite@0.4.19","0.4.19","MIT","https://github.com/ashtuchkin/iconv-lite"
"ignore@3.3.7","3.3.7","MIT","https://github.com/kaelzhang/node-ignore"
"ignore@3.3.8","3.3.8","MIT","https://github.com/kaelzhang/node-ignore"
"imurmurhash@0.1.4","0.1.4","MIT","https://github.com/jensyt/imurmurhash-js"
"inflight@1.0.6","1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.3","2.0.3","ISC","https://github.com/isaacs/inherits"
"inquirer@3.3.0","3.3.0","MIT","https://github.com/SBoudrias/Inquirer.js"
"invariant@2.2.2","2.2.2","BSD-3-Clause","https://github.com/zertosh/invariant"
"is-arrayish@0.2.1","0.2.1","MIT","https://github.com/qix-/node-is-arrayish"
"is-builtin-module@1.0.0","1.0.0","MIT","https://github.com/sindresorhus/is-builtin-module"
"is-callable@1.1.3","1.1.3","MIT","https://github.com/ljharb/is-callable"
"is-date-object@1.0.1","1.0.1","MIT","https://github.com/ljharb/is-date-object"
"is-fullwidth-code-point@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-path-cwd@1.0.0","1.0.0","MIT","https://github.com/sindresorhus/is-path-cwd"
"is-path-in-cwd@1.0.0","1.0.0","MIT","https://github.com/sindresorhus/is-path-in-cwd"
"is-path-inside@1.0.1","1.0.1","MIT","https://github.com/sindresorhus/is-path-inside"
"is-promise@2.1.0","2.1.0","MIT","https://github.com/then/is-promise"
"is-regex@1.0.4","1.0.4","MIT","https://github.com/ljharb/is-regex"
"is-resolvable@1.0.1","1.0.1","MIT","https://github.com/shinnn/is-resolvable"
"is-stream@1.1.0","1.1.0","MIT","https://github.com/sindresorhus/is-stream"
"is-symbol@1.0.1","1.0.1","MIT","https://github.com/ljharb/is-symbol"
"isarray@1.0.0","1.0.0","MIT","https://github.com/juliangruber/isarray"
"isexe@2.0.0","2.0.0","ISC","https://github.com/isaacs/isexe"
"isomorphic-fetch@2.2.1","2.2.1","MIT","https://github.com/matthew-andrews/isomorphic-fetch"
